fitur,jenis,kelompok
harga_rupiah,numerik,harga/musiman
harga_lag_1,numerik,harga/musiman
harga_lag_2,numerik,harga/musiman
harga_lag_3,numerik,harga/musiman
perubahan_harga_1_bulan_pct,numerik,harga/musiman
rata_rata_harga_3_bulan_lalu,numerik,harga/musiman
std_harga_3_bulan_lalu,numerik,harga/musiman
usd_idr_rata_rata_bulanan,numerik,USD/IDR
usd_change_1m_pct,numerik,USD/IDR
usd_change_3m_pct,numerik,USD/IDR
tahun,numerik,harga/musiman
bulan_num,numerik,harga/musiman
bulan_sin,numerik,harga/musiman
bulan_cos,numerik,harga/musiman
level_harga,kategorikal,entitas
provinsi,kategorikal,entitas
komoditas,kategorikal,entitas
