fold,experiment,model_family,config_name,include_usd_idr,n,mae,rmse,r2,smape_pct,median_absolute_error,bias,directional_accuracy_pct,directional_n
1,Naif Persistensi (0%),Baseline,baseline,False,1661,7.474100648308184,13.881563192595989,-0.010269654472272238,198.795901746315,2.553191489361706,-1.3995797049074254,,0
1,Naif Momentum (Δt-1),Baseline,baseline,False,1661,12.964968066709089,24.897397021605265,-2.24988840855624,145.83825519157486,3.906346392118054,3.32837202353239,52.88753799392097,1645
2,Naif Persistensi (0%),Baseline,baseline,False,2057,6.611125817760087,11.657229404804642,-0.004619084148323571,198.93047840969928,2.948881574528117,0.7904466590783384,,0
2,Naif Momentum (Δt-1),Baseline,baseline,False,2057,9.433525314196787,16.86764406234526,-1.1033889777677932,137.43195587764563,3.8344453829155745,1.960482947684729,56.834884860362564,2041
3,Naif Persistensi (0%),Baseline,baseline,False,2874,4.607598023016265,10.356608237014031,-0.001137235972504591,198.67779406503814,1.4520501768530147,0.3490567456505965,,0
3,Naif Momentum (Δt-1),Baseline,baseline,False,2874,6.512273861464453,14.298386102041878,-0.9082380810249928,134.1226917254202,2.080006153026809,-0.6784035179973816,59.15641476274165,2845
4,Naif Persistensi (0%),Baseline,baseline,False,2918,3.7433784344995207,8.036536184015306,-0.010665799129151665,197.3269268045509,1.0699515888154432,0.8255850497297169,,0
4,Naif Momentum (Δt-1),Baseline,baseline,False,2918,5.065624147231674,10.819393167843854,-0.8317895054211839,135.8319896530641,1.4706336165981104,-0.3044290396202183,57.2923935799023,2866
1,Random Forest | tanpa USD/IDR | rf_regularized,Random Forest,rf_regularized,False,1661,8.217622450243114,14.945480414018789,-0.17106315986870912,148.50573200216394,2.683863915425401,-1.711309368050501,60.690490611750455,1651
2,Random Forest | tanpa USD/IDR | rf_regularized,Random Forest,rf_regularized,False,2057,6.4245282625127045,11.25319544705683,0.06381331219267372,150.36412374806824,2.9912067828642623,0.7970171080304407,52.49266862170088,2046
3,Random Forest | tanpa USD/IDR | rf_regularized,Random Forest,rf_regularized,False,2874,4.915595567930385,11.100140791847071,-0.15004674368293136,146.19189991003955,1.599096564609403,0.5431402113361637,50.472854640980735,2855
4,Random Forest | tanpa USD/IDR | rf_regularized,Random Forest,rf_regularized,False,2918,4.756891806092847,9.66984427387386,-0.4632169414106577,152.88390118519553,1.456374190910152,1.6673007687861652,50.88572420979507,2879
1,Random Forest | dengan USD/IDR | rf_regularized,Random Forest,rf_regularized,True,1661,7.801175953006308,14.411735700338028,-0.08891288592777458,151.0007183815446,2.6682560665785067,-0.8378113407474589,56.14778921865536,1651
2,Random Forest | dengan USD/IDR | rf_regularized,Random Forest,rf_regularized,True,2057,9.655402873983299,16.417095377608575,-0.9925231700378367,156.205235302547,3.676700187396896,5.639231854274524,49.46236559139785,2046
3,Random Forest | dengan USD/IDR | rf_regularized,Random Forest,rf_regularized,True,2874,7.6436252011171835,14.738329912282662,-1.0274729357462644,146.53013197030694,2.727849492082049,5.692985658620828,50.57793345008756,2855
4,Random Forest | dengan USD/IDR | rf_regularized,Random Forest,rf_regularized,True,2918,4.029040791426136,8.12070444070517,-0.03194646855804284,150.09087896986642,1.3773095068359589,1.3448683665161505,51.68461271274748,2879
1,XGBoost | tanpa USD/IDR | xgb_regularized,XGBoost,xgb_regularized,False,1661,8.37129848996551,15.158436340438323,-0.20467352994529797,146.0930099582606,2.9674710972107023,-1.5851316026346147,61.53846153846154,1651
2,XGBoost | tanpa USD/IDR | xgb_regularized,XGBoost,xgb_regularized,False,2057,6.577273760283635,11.604981075648295,0.004366247787395361,146.1375628287821,2.892805810116628,-0.1327554835370481,55.962854349951115,2046
3,XGBoost | tanpa USD/IDR | xgb_regularized,XGBoost,xgb_regularized,False,2874,5.108403539632127,10.913734304089763,-0.11174522101255979,148.66682084096686,1.7913184262540667,0.25919232860193,50.75306479859895,2855
4,XGBoost | tanpa USD/IDR | xgb_regularized,XGBoost,xgb_regularized,False,2918,5.403491102869713,10.717881517911223,-0.7975776684091758,149.2580923463105,2.3139147461394476,2.4144075953686404,50.57311566516152,2879
1,XGBoost | dengan USD/IDR | xgb_regularized,XGBoost,xgb_regularized,True,1661,7.754426258113035,14.187908887336942,-0.05535200851707667,142.6061241493082,2.7040343601640293,-0.7575851455558295,62.26529376135675,1651
2,XGBoost | dengan USD/IDR | xgb_regularized,XGBoost,xgb_regularized,True,2057,8.722139209064219,14.547366057423133,-0.5645140659346743,145.65323397411126,3.8257683553444486,4.883382025461295,49.46236559139785,2046
3,XGBoost | dengan USD/IDR | xgb_regularized,XGBoost,xgb_regularized,True,2874,6.492397196046803,12.33702605630242,-0.420625094462896,153.03505065005112,2.41464432086938,4.412583415354053,43.64273204903677,2855
4,XGBoost | dengan USD/IDR | xgb_regularized,XGBoost,xgb_regularized,True,2918,4.591312279738521,8.7420517851607,-0.19590452777220402,149.2295284520011,1.9654553554172067,1.7515943292605096,51.30253560263981,2879
